spotify_artist_id,musicbrainz_artist_id,artist_name,notes
0DiH2yz49jh3H1jYqXNs9Z,287b68cd-0bf0-433b-a3c9-4f706ff031b0,Century,French pop-rock cache entry is unrelated to the Swedish heavy-metal band | https://centuryswe.bandcamp.com/album/the-conquest-of-time
2jkl2xJVm71azWAgZKyf42,39568c43-87a3-4711-92dd-7a33bd4e92ef,Kino,British progressive-rock cache entry is unrelated to Viktor Tsoi's Soviet band | https://maschinarecords.com/collection/kino
6UCGlnMvvNd2v8M7QLoi3L,b01186e6-bc64-443d-96e5-a82546b6f1c1,Obscure,Spanish death-metal cache entry is unrelated to the Norwegian On Formaldehyde band | https://darkessencerecords.no/artists/
